Date,11/13/2024 2:57:54 PM,
Project name,short,
Frame index,23,
Frame interval,1,s,
Vector count,X:,72,Y:,47,

Grid index,GridX,GridY,Measuring coordinatesX[mm],Measuring coordinatesY[mm],VelocityU[mm/s],VelocityV[mm/s],VelocityW[mm/s],Correlation coefficient,AveY,Standard Deviation,Valid Flag
110,38,2,1517.666000,15.678240,-30.237790,3.487109,0.000000,0.659353,24.328130,20.412540,1,
111,39,2,1559.918000,15.678240,-,-,-,-,-,-,0,
112,40,2,1602.171000,15.678240,-26.429820,0.423308,0.000000,0.508085,21.831250,18.569910,1,
113,41,2,1644.423000,15.678240,-30.221550,-0.341091,0.000000,0.653592,20.966880,17.720000,1,
114,42,2,1686.676000,15.678240,-30.755500,0.879074,0.000000,0.687586,21.138750,17.648850,1,
115,43,2,1728.929000,15.678240,-30.718500,1.965499,0.000000,0.601930,21.326880,17.969450,1,
116,44,2,1771.181000,15.678240,-31.391140,3.119227,0.000000,0.644191,20.400630,17.267200,1,
117,45,2,1813.434000,15.678240,-32.483730,1.625726,0.000000,0.497320,19.219380,16.191470,1,
118,46,2,1855.686000,15.678240,-30.462320,-3.494583,0.000000,0.544587,20.383130,17.181900,1,
119,47,2,1897.939000,15.678240,-30.256080,2.471208,0.000000,0.601355,21.771880,18.141210,1,
120,48,2,1940.191000,15.678240,-30.694590,1.221143,0.000000,0.723251,21.293750,17.890500,1,
121,49,2,1982.444000,15.678240,-31.315430,1.613307,0.000000,0.700053,19.848750,16.863260,1,
122,50,2,2024.696000,15.678240,-32.096160,2.539491,0.000000,0.725988,17.190000,14.994250,1,
123,51,2,2066.949000,15.678240,-33.840460,0.747842,0.000000,0.695299,15.354370,13.665420,1,
124,52,2,2109.201000,15.678240,-31.065140,1.037907,0.000000,0.750906,16.290620,14.098000,1,
125,53,2,2151.454000,15.678240,-30.736790,1.374355,0.000000,0.795335,17.228120,14.490380,1,
126,54,2,2193.707000,15.678240,-33.206200,0.008527,0.000000,0.710468,14.898750,13.114820,1,
127,55,2,2235.959000,15.678240,-30.533170,-0.193441,0.000000,0.764137,15.115630,14.051680,1,
128,56,2,2278.211000,15.678240,-30.713750,-0.497694,0.000000,0.691080,20.008130,17.378340,1,
129,57,2,2320.464000,15.678240,-32.544110,-1.572968,0.000000,0.639112,18.449380,16.333670,1,
130,58,2,2362.717000,15.678240,-15.856370,0.258614,0.000000,0.752922,14.321870,12.995990,1,
131,59,2,2404.969000,15.678240,-17.378060,0.229838,0.000000,0.744295,14.520000,12.944670,1,
132,60,2,2447.222000,15.678240,-16.719720,-0.269700,0.000000,0.582567,16.826250,14.560130,1,
133,61,2,2489.474000,15.678240,-,-,-,-,-,-,0,
134,62,2,2531.727000,15.678240,-15.073170,-6.127756,0.000000,0.530717,21.431250,17.773720,1,
135,63,2,2573.979000,15.678240,-15.006280,-3.835532,0.000000,0.648432,19.562500,16.350150,1,
136,64,2,2616.232000,15.678240,-15.671770,1.239663,0.000000,0.523449,18.865630,15.576110,1,
137,65,2,2658.484000,15.678240,-,-,-,-,-,-,0,
138,66,2,2700.737000,15.678240,-,-,-,-,-,-,0,
139,67,2,2742.990000,15.678240,0.179439,2.456823,0.000000,0.624781,18.021250,15.142020,1,
140,68,2,2785.242000,15.678240,0.209086,-0.271119,0.000000,0.596373,17.615000,14.938100,1,
141,69,2,2827.494000,15.678240,-0.329097,-0.075887,0.000000,0.616952,17.153750,14.408720,1,
142,70,2,2869.747000,15.678240,-,-,-,-,-,-,0,
143,71,2,2912.000000,15.678240,2.731476,11.777060,0.000000,0.387556,18.985000,15.696810,1,
144,72,2,2954.252000,15.678240,-16.111250,-3.736422,0.000000,0.367772,18.366870,15.226610,1,
145,1,3,-45.677940,57.930770,-,-,-,-,-,-,0,
146,2,3,-3.425404,57.930770,-,-,-,-,-,-,0,
147,3,3,38.827130,57.930770,-0.101064,11.791570,0.000000,0.851455,19.973750,14.751800,1,
148,4,3,81.079670,57.930770,-,-,-,-,-,-,0,
149,5,3,123.332200,57.930770,0.005933,7.879477,0.000000,0.515508,32.409370,3.066030,1,
150,6,3,165.584700,57.930770,-,-,-,-,-,-,0,
151,7,3,207.837300,57.930770,0.647261,-2.321540,0.000000,0.641186,27.795630,5.223874,1,
152,8,3,250.089800,57.930770,0.753308,0.548077,0.000000,0.707732,30.835000,5.678712,1,
153,9,3,292.342300,57.930770,0.768651,0.016570,0.000000,0.738100,27.973130,7.746041,1,
154,10,3,334.594900,57.930770,0.996927,-2.211016,0.000000,0.730904,30.721250,8.264521,1,
155,11,3,376.847400,57.930770,0.554241,6.269929,0.000000,0.708504,34.763130,4.296309,1,
156,12,3,419.099900,57.930770,0.146991,5.210129,0.000000,0.615119,33.365000,3.195782,1,
157,13,3,461.352500,57.930770,-0.158553,6.566662,0.000000,0.487179,34.048750,2.641283,1,
158,14,3,503.605000,57.930770,-,-,-,-,-,-,0,
159,15,3,545.857500,57.930770,-,-,-,-,-,-,0,
160,16,3,588.110100,57.930770,0.351899,3.039130,0.000000,0.503917,32.348130,3.167915,1,
161,17,3,630.362600,57.930770,-0.295512,2.655074,0.000000,0.690799,30.640000,5.413562,1,
162,18,3,672.615200,57.930770,-14.756050,1.848745,0.000000,0.713212,33.313750,5.905744,1,
163,19,3,714.867700,57.930770,-,-,-,-,-,-,0,
164,20,3,757.120200,57.930770,-,-,-,-,-,-,0,
165,21,3,799.372800,57.930770,-16.152130,21.406810,0.000000,0.486528,37.299370,3.601701,1,
166,22,3,841.625300,57.930770,-15.296880,6.091301,0.000000,0.465313,37.620000,4.154137,1,
167,23,3,883.877900,57.930770,-,-,-,-,-,-,0,
168,24,3,926.130400,57.930770,-31.032430,5.485809,0.000000,0.375794,37.416250,4.741623,1,
169,25,3,968.382900,57.930770,-,-,-,-,-,-,0,
170,26,3,1010.635000,57.930770,-28.824940,14.191670,0.000000,0.632368,41.248750,5.188750,1,
171,27,3,1052.888000,57.930770,-29.018790,12.898580,0.000000,0.561321,42.412500,4.887980,1,
172,28,3,1095.141000,57.930770,-25.239850,3.951587,0.000000,0.577913,37.135000,7.794744,1,
173,29,3,1137.393000,57.930770,-25.518990,1.802200,0.000000,0.562963,31.498130,6.509992,1,
174,30,3,1179.646000,57.930770,-31.900290,2.664179,0.000000,0.567524,33.263130,5.155351,1,
175,31,3,1221.898000,57.930770,-30.790830,3.130280,0.000000,0.567570,35.935620,5.952330,1,
176,32,3,1264.151000,57.930770,-30.439070,2.220657,0.000000,0.628643,36.324380,5.820580,1,
177,33,3,1306.403000,57.930770,-31.076320,3.702469,0.000000,0.677413,39.486870,4.499425,1,
178,34,3,1348.656000,57.930770,-,-,-,-,-,-,0,
179,35,3,1390.908000,57.930770,-32.619980,-4.506108,0.000000,0.432146,32.600620,5.312003,1,
180,36,3,1433.161000,57.930770,-29.768920,-2.036646,0.000000,0.704011,36.961250,7.743045,1,
181,37,3,1475.413000,57.930770,-25.755130,4.023270,0.000000,0.571800,43.810620,5.011089,1,
182,38,3,1517.666000,57.930770,-30.783360,3.478607,0.000000,0.537888,42.121880,5.134761,1,
183,39,3,1559.918000,57.930770,-,-,-,-,-,-,0,
184,40,3,1602.171000,57.930770,-28.773890,2.835682,0.000000,0.250784,37.428750,4.285140,1,
185,41,3,1644.423000,57.930770,-30.772130,1.424203,0.000000,0.559208,36.439380,4.172389,1,
186,42,3,1686.676000,57.930770,-31.038530,0.880907,0.000000,0.415668,35.754380,4.447504,1,
187,43,3,1728.929000,57.930770,-31.326780,1.274973,0.000000,0.471375,35.047500,6.113019,1,
188,44,3,1771.181000,57.930770,-32.463990,1.669215,0.000000,0.564766,33.114380,5.482362,1,
189,45,3,1813.434000,57.930770,-34.333310,1.653319,0.000000,0.461292,32.918130,4.097429,1,
190,46,3,1855.686000,57.930770,-,-,-,-,-,-,0,
191,47,3,1897.939000,57.930770,-,-,-,-,-,-,0,
192,48,3,1940.191000,57.930770,-,-,-,-,-,-,0,
193,49,3,1982.444000,57.930770,-36.102910,0.757566,0.000000,0.640369,31.485000,6.389818,1,
194,50,3,2024.696000,57.930770,-31.245810,0.471828,0.000000,0.590492,28.260630,5.102225,1,
195,51,3,2066.949000,57.930770,-31.296750,0.689021,0.000000,0.657920,29.305630,5.064802,1,
196,52,3,2109.201000,57.930770,-31.395340,1.713547,0.000000,0.608251,29.824380,4.868371,1,
197,53,3,2151.454000,57.930770,-30.801280,1.003023,0.000000,0.606497,27.355630,4.832614,1,
198,54,3,2193.707000,57.930770,-30.435290,0.606039,0.000000,0.512434,24.375630,3.637586,1,
199,55,3,2235.959000,57.930770,-31.061620,-0.305122,0.000000,0.707885,27.525630,5.906932,1,
200,56,3,2278.211000,57.930770,-30.905260,-3.884980,0.000000,0.538005,34.165630,4.650209,1,
201,57,3,2320.464000,57.930770,-31.643190,-1.551103,0.000000,0.533120,32.516880,5.450891,1,
202,58,3,2362.717000,57.930770,-30.049580,1.304139,0.000000,0.641644,29.039380,5.175333,1,
203,59,3,2404.969000,57.930770,-16.683200,0.602025,0.000000,0.663916,27.930000,5.180623,1,
204,60,3,2447.222000,57.930770,-19.378840,-0.523295,0.000000,0.486192,27.808750,4.207246,1,
205,61,3,2489.474000,57.930770,-,-,-,-,-,-,0,
206,62,3,2531.727000,57.930770,-,-,-,-,-,-,0,
207,63,3,2573.979000,57.930770,-15.696550,-6.268168,0.000000,0.550842,30.503120,4.624256,1,
208,64,3,2616.232000,57.930770,-,-,-,-,-,-,0,
209,65,3,2658.484000,57.930770,-,-,-,-,-,-,0,
210,66,3,2700.737000,57.930770,-,-,-,-,-,-,0,
211,67,3,2742.990000,57.930770,-,-,-,-,-,-,0,
212,68,3,2785.242000,57.930770,0.714210,-2.237644,0.000000,0.518318,31.939370,4.673537,1,
213,69,3,2827.494000,57.930770,0.099555,-0.334446,0.000000,0.584709,29.151870,3.477256,1,
214,70,3,2869.747000,57.930770,0.853075,-3.220986,0.000000,0.444868,30.134370,3.081610,1,
215,71,3,2912.000000,57.930770,-,-,-,-,-,-,0,
216,72,3,2954.252000,57.930770,34.873670,12.659270,0.000000,0.405722,31.398750,2.647357,1,
217,1,4,-45.677940,100.183300,-,-,-,-,-,-,0,
218,2,4,-3.425404,100.183300,-,-,-,-,-,-,0,
219,3,4,38.827130,100.183300,0.000000,-0.642530,0.000000,0.910172,19.506250,14.376800,1,
220,4,4,81.079670,100.183300,-0.156312,0.472624,0.000000,0.452039,30.717500,2.316828,1,
221,5,4,123.332200,100.183300,-0.051448,0.770615,0.000000,0.434187,32.654370,3.361907,1,
222,6,4,165.584700,100.183300,-,-,-,-,-,-,0,
223,7,4,207.837300,100.183300,0.124841,-0.470406,0.000000,0.644027,25.331870,5.535723,1,
224,8,4,250.089800,100.183300,0.140991,0.190992,0.000000,0.719394,32.951870,6.147525,1,
225,9,4,292.342300,100.183300,0.765752,0.385004,0.000000,0.825084,31.704370,6.615190,1,
226,10,4,334.594900,100.183300,2.577498,-0.410164,0.000000,0.831542,30.753120,6.921320,1,
227,11,4,376.847400,100.183300,1.082324,-0.120106,0.000000,0.809049,36.153130,5.817833,1,
228,12,4,419.099900,100.183300,0.133125,0.201917,0.000000,0.786499,35.383130,4.401004,1,
229,13,4,461.352500,100.183300,0.346150,0.818962,0.000000,0.515487,35.649380,3.446221,1,
230,14,4,503.605000,100.183300,-,-,-,-,-,-,0,
231,15,4,545.857500,100.183300,-,-,-,-,-,-,0,
232,16,4,588.110100,100.183300,0.358502,0.469429,0.000000,0.886225,31.493750,6.510085,1,
233,17,4,630.362600,100.183300,-0.813942,0.673059,0.000000,0.845152,31.352500,8.363955,1,
234,18,4,672.615200,100.183300,-,-,-,-,-,-,0,
235,19,4,714.867700,100.183300,-,-,-,-,-,-,0,
236,20,4,757.120200,100.183300,-23.063190,15.804490,0.000000,0.534806,38.541870,4.168123,1,
237,21,4,799.372800,100.183300,-25.628620,16.183600,0.000000,0.665724,36.643750,5.992544,1,
238,22,4,841.625300,100.183300,-30.477670,15.765580,0.000000,0.586898,37.011880,5.716029,1,
239,23,4,883.877900,100.183300,-29.783990,5.355378,0.000000,0.629256,37.042500,5.702801,1,
240,24,4,926.130400,100.183300,-30.705670,3.137051,0.000000,0.818801,33.341870,7.446308,1,
241,25,4,968.382900,100.183300,-29.917780,15.035680,0.000000,0.869325,36.390000,8.406123,1,
242,26,4,1010.635000,100.183300,-26.599210,13.946670,0.000000,0.889311,39.113750,8.684228,1,
243,27,4,1052.888000,100.183300,-27.618630,11.631320,0.000000,0.853097,41.731250,8.411096,1,
244,28,4,1095.141000,100.183300,-,-,-,-,-,-,0,
245,29,4,1137.393000,100.183300,-29.845340,3.520780,0.000000,0.327872,27.322500,3.756959,1,
246,30,4,1179.646000,100.183300,-29.833600,1.252173,0.000000,0.398792,29.521880,5.408745,1,
247,31,4,1221.898000,100.183300,-31.134370,2.456746,0.000000,0.357623,32.316880,6.883601,1,
248,32,4,1264.151000,100.183300,-,-,-,-,-,-,0,
249,33,4,1306.403000,100.183300,-31.278630,5.571055,0.000000,0.489447,38.206870,5.042354,1,
250,34,4,1348.656000,100.183300,-,-,-,-,-,-,0,
251,35,4,1390.908000,100.183300,-31.307900,2.064777,0.000000,0.350262,32.160000,4.198589,1,
252,36,4,1433.161000,100.183300,-29.836490,0.437956,0.000000,0.663555,35.203130,7.873888,1,
253,37,4,1475.413000,100.183300,-,-,-,-,-,-,0,
254,38,4,1517.666000,100.183300,-30.763810,1.608252,0.000000,0.565146,40.301880,5.692385,1,
255,39,4,1559.918000,100.183300,-31.156630,0.577097,0.000000,0.437299,35.223750,5.965520,1,
256,40,4,1602.171000,100.183300,-,-,-,-,-,-,0,
257,41,4,1644.423000,100.183300,-,-,-,-,-,-,0,
258,42,4,1686.676000,100.183300,-,-,-,-,-,-,0,
259,43,4,1728.929000,100.183300,-,-,-,-,-,-,0,
260,44,4,1771.181000,100.183300,-31.515120,0.301966,0.000000,0.431148,30.882500,4.977695,1,
261,45,4,1813.434000,100.183300,-31.524800,0.817954,0.000000,0.661635,34.565000,6.042415,1,
262,46,4,1855.686000,100.183300,-30.811030,0.724508,0.000000,0.784004,33.910000,5.829614,1,
263,47,4,1897.939000,100.183300,-,-,-,-,-,-,0,
264,48,4,1940.191000,100.183300,-,-,-,-,-,-,0,
265,49,4,1982.444000,100.183300,-36.730890,0.063723,0.000000,0.725203,30.813130,7.292167,1,
266,50,4,2024.696000,100.183300,-30.547710,0.271877,0.000000,0.712531,27.272500,3.883715,1,
267,51,4,2066.949000,100.183300,-31.034460,0.462529,0.000000,0.781693,30.693120,3.743855,1,
268,52,4,2109.201000,100.183300,-32.452530,0.607209,0.000000,0.582838,29.559380,4.883285,1,
269,53,4,2151.454000,100.183300,-31.198020,0.211996,0.000000,0.541648,26.950620,5.298414,1,
270,54,4,2193.707000,100.183300,-,-,-,-,-,-,0,
271,55,4,2235.959000,100.183300,-29.986530,-0.042169,0.000000,0.863605,27.978120,6.566308,1,
272,56,4,2278.211000,100.183300,-30.160670,0.067086,0.000000,0.684692,33.875000,4.691415,1,
273,57,4,2320.464000,100.183300,-30.697670,-0.168837,0.000000,0.593198,32.644370,3.626866,1,
274,58,4,2362.717000,100.183300,-30.616500,0.626455,0.000000,0.753898,32.606250,3.340653,1,
275,59,4,2404.969000,100.183300,-,-,-,-,-,-,0,
276,60,4,2447.222000,100.183300,-22.285200,-0.806341,0.000000,0.769953,28.342500,5.492626,1,
277,61,4,2489.474000,100.183300,-,-,-,-,-,-,0,
278,62,4,2531.727000,100.183300,-,-,-,-,-,-,0,
279,63,4,2573.979000,100.183300,-16.109220,-15.203680,0.000000,0.505324,26.870620,4.370227,1,
280,64,4,2616.232000,100.183300,-,-,-,-,-,-,0,
281,65,4,2658.484000,100.183300,-15.554150,-13.166150,0.000000,0.654236,26.159370,4.797809,1,
282,66,4,2700.737000,100.183300,-15.619570,-14.494960,0.000000,0.783277,30.740630,5.792094,1,
283,67,4,2742.990000,100.183300,-,-,-,-,-,-,0,
284,68,4,2785.242000,100.183300,0.433435,0.208649,0.000000,0.671777,30.656880,4.798869,1,
285,69,4,2827.494000,100.183300,-0.107751,-2.956427,0.000000,0.727249,27.146880,4.121778,1,
286,70,4,2869.747000,100.183300,-0.108486,-3.517146,0.000000,0.666499,29.410630,3.803717,1,
287,71,4,2912.000000,100.183300,0.339501,0.494200,0.000000,0.625311,31.428130,3.530734,1,
288,72,4,2954.252000,100.183300,0.642798,14.896720,0.000000,0.587663,30.735620,3.282450,1,
289,1,5,-45.677940,142.435800,-,-,-,-,-,-,0,
290,2,5,-3.425404,142.435800,-,-,-,-,-,-,0,
291,3,5,38.827130,142.435800,-,-,-,-,-,-,0,
292,4,5,81.079670,142.435800,0.230274,-0.385086,0.000000,0.664377,28.539380,4.296475,1,
293,5,5,123.332200,142.435800,0.025495,-0.553894,0.000000,0.747981,29.946870,5.204234,1,
294,6,5,165.584700,142.435800,-0.235217,-0.395823,0.000000,0.818965,28.369380,5.436606,1,
295,7,5,207.837300,142.435800,-0.539090,0.205484,0.000000,0.655535,25.856870,4.041212,1,
296,8,5,250.089800,142.435800,-0.789897,0.170962,0.000000,0.787478,31.051250,4.982080,1,
297,9,5,292.342300,142.435800,0.217448,-0.305132,0.000000,0.783879,31.308750,4.671555,1,
